symbol,timeframe,factor,ic,ir,abs_ic,ic_win
ADAUSDT,1d,bollinger_position,-0.4047965968418352,-1.1222477594745168,0.4047965968418352,0.9822834645669292
ADAUSDT,1d,obv_slope,-0.2055944055944056,-0.45813301823485025,0.2055944055944056,0.9861932938856016
XRPUSDT,5min,volatility,-0.030049764274489278,-0.05811395997750748,0.030049764274489278,0.9743975903614458
XRPUSDT,5min,atr_ratio,0.15972137627162572,0.34764166840708693,0.15972137627162572,0.977645305514158
XRPUSDT,5min,rsi,-0.48232632420534827,-1.4762928794380161,0.48232632420534827,0.9882869692532943
XRPUSDT,5min,volume_ratio,-0.011856897320007637,-0.0951635708987188,0.011856897320007637,0.8535871156661786
XRPUSDT,5min,price_momentum,-0.44635411210057613,-1.190639804637021,0.44635411210057613,0.9774096385542169
XRPUSDT,5min,bollinger_position,-0.46129783524789547,-1.2145963984670887,0.46129783524789547,0.9834586466165414
XRPUSDT,5min,obv_slope,0.2905460974332111,0.6693261657533829,0.2905460974332111,0.9759036144578314
XRPUSDT,15min,volatility,-0.12351190476190474,-0.2764790222236468,0.12351190476190474,0.9627976190476191
XRPUSDT,15min,atr_ratio,0.1311548384953547,0.3082037254500735,0.1311548384953547,0.9720176730486009
XRPUSDT,15min,rsi,-0.4548033849403855,-1.4896799289699327,0.4548033849403855,0.9884225759768451
XRPUSDT,15min,volume_ratio,0.0035385134326409357,0.025339815760459284,0.0035385134326409357,0.8986975397973951
XRPUSDT,15min,price_momentum,-0.3996844790547798,-1.0134238809080165,0.3996844790547798,0.9851190476190477
XRPUSDT,15min,bollinger_position,-0.40089169664625074,-1.204448158393287,0.40089169664625074,0.9821693907875185
XRPUSDT,15min,obv_slope,-0.27843716433941995,-0.6403580768574816,0.27843716433941995,0.9821428571428571
XRPUSDT,30min,volatility,-0.051820934256055357,-0.11848887378513472,0.051820934256055357,0.9691176470588235
XRPUSDT,30min,atr_ratio,0.12602962582412877,0.31362666866029676,0.12602962582412877,0.9592430858806404
XRPUSDT,30min,rsi,-0.4489943616931751,-1.6837668495549507,0.4489943616931751,0.9842632331902719
XRPUSDT,30min,volume_ratio,0.006635529748380037,0.034228062300033814,0.006635529748380037,0.9241773962804005
